country,2013,2014,2015,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia ,0.7,0.7,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria ,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium ,1.3,1.3,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada ,1.3,1.2,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile ,0.8,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia ,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic ,0.9,0.8,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark ,1.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia ,1.2,1.4,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland ,1.7,1.7,1.6,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France ,1.1,1.1,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany ,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece ,0.6,0.6,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary ,0.8,0.7,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland ,1.1,1.1,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland ,0.9,0.8,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel ,0.9,0.8,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy ,0.6,0.6,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan ,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Republic of  ",,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia ,0.8,1.0,1.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania ,1.2,1.2,1.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg ,0.5,0.5,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico ,0.8,1.0,1.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands ,1.2,1.2,1.2,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand ,1.0,0.9,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway ,1.5,1.6,1.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland ,1.1,1.0,1.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,0.7,0.8,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic ,0.8,0.8,1.2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia ,1.0,0.9,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain ,0.9,0.9,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden ,1.5,1.4,1.4,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland ,1.2,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey ,1.4,1.4,1.3,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom ,0.6,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States ,0.9,0.9,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Russian 
     Federation ",0.8,0.8,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,